1568	vSOczlODEe+Ea3DNYKrNDg==	5	Auto HH				Drums;Percussion;		"Peter ""Ski"" Schwartz"			1722901075	1723671504	1723671504	0		0	ART-Z 2600 Drums	0	0	0	0	"MW adds phase shifter and delay
AT = lengthens decay of closed hat

ADSR controls closed hat
AUX ENV controls open hat"	0	0	Arp2600		0
1569	0soZglIGEe+xhHDNYKrNDg==	5	AutoShaker				Drums;Percussion;		"Peter ""Ski"" Schwartz"			1722737473	1723687665	1723687665	0		0	ART-Z 2600 Drums	0	0	0	0	MW = stereo delay	0	0	Arp2600		0
1570	cfjvklHaEe+D3HDNYKrNDg==	5	AutoShaker More Rand				Drums;Percussion;		"Peter ""Ski"" Schwartz"			1722718412	1723687667	1723687667	0		0	ART-Z 2600 Drums	0	0	0	0	MW = stereo delay	0	0	Arp2600		0
1571	3M0iRu4JEe6heHDNYKrNDg==	5	Bao Sync Bass				Bass;Synth;		"Peter ""Ski"" Schwartz"			1711743662	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW & AT = vibrato	0	0	Arp2600		0
1572	8dgsWFbhEe+mhnDNYKrNDg==	5	Bao Sync Bass (Growly)				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723271389	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW & AT = vibrato	0	0	Arp2600		0
1573	e6/rRPC5Ee6mpHDNYKrNDg==	5	Bao Veloc Bass 2-Oct				Bass;Synth;		"Peter ""Ski"" Schwartz"			1712038992	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	MW & AT = vibrato	0	0	Arp2600		0
1574	vGH0GFbEEe+QWXDNYKrNDg==	5	Bass Froggg				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723258844	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	"** Single Trigger**

Very velocity sensitive. The most froggy fun is in the bass.

MW = frequency modulation whackiness

AT = vibrato"	0	0	Arp2600		0
1575	uJBDhFboEe+alHDNYKrNDg==	5	Bass: Boww Attack 2-Oct				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723274300	1723678985	1723678985	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW & AT = vibrato"	0	0	Arp2600		0
1576	s1WsEFboEe+boHDNYKrNDg==	5	Bass: Boww Attack 3-Oct				Bass;Synth;		"Peter ""Ski"" Schwartz"			1723274291	1723679069	1723679069	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW & AT = vibrato"	0	0	Arp2600		0
1577	E9yBkk18Ee+AzXDNYKrNDg==	5	Bass: Classic 2oct Bs/Ld				Bass;Synth;		"Peter ""Ski"" Schwartz"			1722238077	1723602001	1723602001	0		0	ART-Z 2600	0	0	0	0	"Classic Analog Bass

MW & AT = vibrato"	0	0	Arp2600		0
